,Date,Title,Summary,Unnamed: 4
44,07/15/2020,"US states: 15 US states to jointly work to advance electric heavy-duty trucks, Auto News, ET Auto","Washington: A group of 15 US states and the District of Columbia on Tuesday unveiled a joint memorandum of understanding aimed at boosting the market for electric medium- and heavy-duty vehicles and phasing out diesel-powered trucks by 2050.The announcement comes weeks after the California Air Resources Board approved a groundbreaking policy to require manufacturers to sell a rising number of zero-emission vehicles, starting in 2024 and to electrify nearly all larger trucks by 2045.The 14 states said the voluntary initiative is aimed at boosting the number of electric large pickup trucks and vans, delivery trucks, box trucks, school and transit buses, and long-haul delivery trucks, with the goal of ensuring all new medium- and heavy-duty vehicle sales be zero emission vehicles (ZEV) by 2050 with a target of 30% ZEV sales by 2030.The states include California, Colorado, Connecticut, Massachusetts, Hawaii, New Jersey, New York, North Carolina, Oregon, Pennsylvania, Washington and Vermont.The states committed to developing a plan within six months to identify barriers and propose solutions to support widespread electrification, including potential financial incentives and ways to boost EV infrastructure.
Trucks and buses represent 4% of U.S. vehicles, but account for nearly 25% of greenhouse gas emissions from the transportation sector.California's mandate will put an estimated 300,000 zero-emission trucks on the road by 2035.
California's planned rules will initially require 5%-9% ZEVs based on class, rising to 30%-50% by 2030 and nearly all by 2045.The push comes as a rising number of companies - including Rivian, Tesla Inc, Nikola Corp and General Motors - work to introduce zero emission trucks.Major businesses like Amazon.com, UPS and Walmart have also said they are ramping up purchases of electric delivery trucks.California later plans to adopt new limits on nitrogen oxide emissions, one of the major precursors of smog, as well as require large fleet owners to buy some ZEVs.",
45,02/16/2020,"Luxury Volvo bus: Tejashwi's 'hi-tech', luxury bus owned by a poor, BPL card holder: Minister, Auto News, ET Auto","""Tejashwi Yadav is following the footsteps of his father.
He has invested in a hi-tech bus instead of plots of land which Lalu used to acquire through similar fraudulent means,"" Kumar alleged.
""A BPL card holder OBC Madan Pal, who belongs to Bakhtiyarpur in rural Patna, has been made the scapegoat for the legal wrangles that may arise from this fraudulent transaction.
""If Tejashwi Yadav and the RJD have a clear conscience, they must come out with an explanation.
""Enjoying luxuries sponsored through party leaders has been a part of the culture promoted by his father and Tejashwi has failed to change that.",
46,03/29/2020,"migrant workers: Roadways buses to transport migrant workers stranded in Rajasthan, Auto News, ET Auto","Jaipur: Rajasthan Transport Minister Pratap Singh Khachariyawas on Saturday said roadways buses will be pressed into service to transport migrant workers and their families stranded in the state due to the country-wide lockdown to check the spread of coronavirus.
He said people from other states who have entered Rajasthan need to be taken to their destination so that there is no risk of COVID-19 infection.Khachariyawas said he has instructed the roadways to keep 20 fully sanitised buses ready at depots across the state at all times.He said due to the lockdown a large number of people are walking several kilometers to be with their families.The minister said the buses will be sent on the recommendation of district collectors.Khachariyawas appealed to people to not leave their houses and follow the guidelines of the state and central governments.
Rajasthan State Road Transport Corporation has set up four bus stops in Jaipur from where migrant workers and their families can board buses.These are Transport Nagar for Delhi and Agra, Chomu Pulia for Sikar, Durgapura Bus Stand for Tonk-Kota and bus stop on 200-feet bypass for Ajmer route.",
47,02/12/2020,"shaanxi trucks: SoftBank-backed Innoviz partners with China's Shaanxi for autonomous trucks, Auto News, ET Auto","Accept the updated privacy & cookie policyDear user,ET Auto privacy and cookie policy has been updated to align with the new data regulations in European Union.
Please review and accept these changes below to continue using the website.
You can see our privacy policy & our cookie policy.
We use cookies to ensure the best experience for you on our website.
If you choose to ignore this message, we'll assume that you are happy to receive all cookies on ET Auto.",
48,03/24/2020,"Navistar Springfield plant: Coronavirus: Navistar suspends production at Springfield assembly plant for two weeks, Auto News, ET Auto","New Delhi: Navistar International Corporation on Monday suspended production at its Springfield plant for two weeks due to supply chain disruptions emerging out of the coronavirus pandemic, according to a media report.Both production lines of the plant will remain suspended till April 6, as per the bulletin posted on Monday from United Auto Workers, a labour union representing around 1,400 employees at the Springfield assembly plant.The Springfield plant manufactures and assembles medium-duty, heavy-duty and the severe service commercial trucks, as well as cutaway G Vans as part of a joint-venture with General Motors Corp.""Navistar cannot predict if or when any further disruptions will occur due to the rapidly changing environment as the COVID-19 pandemic continues to evolve,"" the company said in a statement.Last week, General Motors confirmed its plans to begin a ""systematic orderly suspension"" of manufacturing operations in North America until March 30 due to market conditions and to deep clean facilities.As per the report, Navistar is also withdrawing its previously issued 2020 financial and industry guidance in the wake of the COVID-19 pandemic.
""The company believes its future financial results will be impacted, but at this time, the magnitude of those impacts is uncertain,"" the statement reads.",
49,04/28/2020,"Private bus operators: Bengal bus operators seek financial help from Nitin Gadkari, Auto News, ET Auto","Kolkata: Two bus operators' associations in West Bengal said on Monday that they have written to Union Minister Nitin Gadkari seeking a financial package for the passenger transport industry, which has taken a severe hit amid the coronavirus-triggered lockdown.Drawing attention of the Road Transport and Highways minister to the plight of thousands of bus owners and their employees, the Joint Council of Bus Syndicates and Inter and Intra Region Bus Association said the industry would suffer an irreparable loss without any aid from the government.
""The operators of around 49,000 buses in the state and over 2.5 lakh workers are in financial distress on account of the lockdown,"" Joint Council of Bus Syndicates general secretary Tapan Banerjee said.Pallab Majumdar, the general secretary of Inter and Intra Region Bus Association, in the letter to Gadkari, said bus operators and employees were finding it difficult to sustain their livelihood.",
50,05/07/2020,"Daimler India Commercial Vehicles: Daimler India Commercial Vehicles resumes plant operations, Auto News, ET Auto","New Delhi: Daimler India Commercial Vehicles DICV ) on Thursday said it has resumed plant operations in a phased manner.
We immediately initiated a Crisis Management Team (CMT) to steer us safely through this difficult situation.
""The CMT consists of representatives from across the organisation and holds virtual meetings with DICV's top executives on a daily basis, the company said.It has initiated hundreds of health, safety and sanitisation measures over the last few months, ranging from mass cleaning of DICV's 400 acre Oragadam plant, near Chennai, to renovations of facilities designed to ensure social distancing norms are followed, it added.
""The CMT has also taken charge of tracking the health and safety of the company's over 4,000 employees, plus overseeing the company's extensive CSR contributions,"" the statement said.The company is ramping up gradually with a minimum workforce of essential employees to start with, then a planned move to full capacity as and when the lockdown ends, it added.
""Dealerships across the country have already begun to reopen as local restrictions ease, ensuring BharatBenz customers have access to the free service and warranty extensions the company began offering at the start of the crisis,"" DICV said.BharatBenz is a brand of Daimler India Commercial Vehicles.Arya said, ""DICV's number one priority is health and safety of our stakeholders, from our employees and customers to our dealers and suppliers.""",
51,05/23/2020,"bus services: Over 11,000 travel by MSRTC buses after services restart, Auto News, ET Auto","Mumbai: On the first day of resumption of intra-district bus service in Maharashtra on Friday, only 11,151 passengers traveled by the buses of the Maharashtra State Road Transport Corporation ( MSRTC ).Shekhar Channe, acting Vice Chairman and Managing director of MSRTC, said the state-run corporation operated 2,007 bus services On average six passengers traveled on each bus, but the number of passengers will go up gradually, he said.MSRTC resumed operations after a gap of two months since lockdown came into force.Intra-district bus operations restarted across the state excluding the red zones.MSRTC services, including those of its iconic and omnipresent 'Lal Dabas' (red buses) had come to a screeching halt from March 22 with the outbreak of coronavirus becoming serious.Its buses were only plying in Mumbai region, that too for emergency and essential services staff alone.MSRTC ferried over three lakh migrants upto the state borders and to various districts from the state borders since the first week of May.The biggest state road transport corporation of the country has a fleet of around 18,000 buses.",
52,08/20/2020,"KSRTC: KSRTC long distance inter-dist services from August 1 put on hold, Auto News, ET Auto","Kozhikode: In a U-turn, the Kerala government on Friday decided to put on hold its decision to operate long distance inter-district bus services of the state-run KSRTC from August 1 following increase in COVID-19 cases Transport Minister A K Saseendran, who had announced the commencement of services from Saturday, told that the decision to put on hold plying of buses by the Kerala State Road Transport Corporation was taken in view of the hindrances in operating as there were many containment zones, besides increasing spike in COVID-19 cases through contacts.
""We were hoping to resume operations of inter district services from tomorrow.
But a review of containment zones made us rethink our decision as many places across the state fall under containment zones"", the Minister said.Addressing the media here on Friday morning, the Minister had announced the decision to resume as many as 206 long- distance bus services from August 1 after being suspended for over four months due to the national lockdown.",
53,07/19/2020,"all india motor transport congress: Unbridled hike in fuel prices may force transporters to suspend operations, says AIMTC, Auto News, ET Auto","""There is acute resentment among the road transport fraternity of India and we foresee major disruption in the offing.
The road transport fraternity of India strongly protests against the historic hikes in diesel, that are brazen and are making operations unviable.
Diesel now costs Rs 79.88 per litre in Delhi as compared to petrol price of Rs 79.76 a litre.
The road transport sector is devastated due to back-to back lockdowns amid Covid pandemic and closure of economy.
""With diesel prices increasing on daily basis, the operating cost increase substantially but the same is not effected in the freight paid.",
54,05/09/2020,"BMTC bus services: Bengaluru city buses to run for govt, company staff, Auto News, ET Auto","Accept the updated privacy & cookie policyDear user,ET Auto privacy and cookie policy has been updated to align with the new data regulations in European Union.
Please review and accept these changes below to continue using the website.
You can see our privacy policy & our cookie policy.
We use cookies to ensure the best experience for you on our website.
If you choose to ignore this message, we'll assume that you are happy to receive all cookies on ET Auto.",
55,05/17/2020,"trucking industry: Pushed to wall, may take vehicles off the road: Transporters, Auto News, ET Auto","""The government imposed lockdowns and its apathy has pushed the road transport sector to dreadful levels...
""The government has failed to provide relief to this sector thus giving it a body-blow.
The Extension of validity of Motor Insurance ended on May 15, 2020.
Without Third-Party insurance the vehicle cannot run on the road.
""The Prime Minister's thrust for 'Ease of Doing Business' and 'Sabka Vikas' stands to be a dumb failure for the road transport sector.",
56,02/10/2020,"Ashok Leyland Optare: Ashok Leyland division Optare wins another order for electric double decker buses in London, Auto News, ET Auto","These 37 Metrodecker EVs will save more than 1,800 tonnes in greenhouse gas emissions well to wheel in each year of operation versus a Euro 6 bus.
""The Metrodecker EV entered service in summer 2019.
Tower Transit's order is the third major contract for the Metrodecker EV in just over a year, and the second order for the capital.
The routes will operate out of the operator's Westbourne Park garage in the North West of the Capital.
Routes C3 and 23 will be Tower Transit's first battery electric operation.",
57,03/23/2020,"fuel cell truck: Toyota and Hino to jointly develop fuel cell truck, Auto News, ET Auto","TOKYO: Japan's Toyota Motor Corp on Monday has said that it would develop a heavy-duty fuel-cell truck in association with its subsidiary, Hino Motor Co.
The Japanese automaker sees hydrogen technology as a zero-emissions alternative to the battery power for large commercial vehicles.Toyota also said the truck, based on Hino's Profia model, would be equipped with dual fuel cell stacks developed for the next model of its Mirai fuel cell sedan.
This fuel cell truck would have a travelling range of 600 kilometers without refuelling.The automaker has long touted the fuel cell vehicles as the ultimate green car.
It sees the fuel cell technology as more efficient than pure battery electric cars, which is encouraged several automakers across the world as an alternative of the fossil-fuel power vehicles.Toyota and Hino have positioned hydrogen as an important energy source for the future and have worked together on developing technologies and spreading and innovating fuel cell vehicles for over 15 years since their joint demonstration trials of the fuel cell bus in 2003, claims the automaker.
It also said that going forward, Toyota and Hino will further strengthen the partnership and accelerate efforts toward the realization of a hydrogen society.",
58,04/25/2020,"Truckers: Only 20% of trucks plying on NHs, truckers complain of problems, Auto News, ET Auto","New Delhi: Even as the Centre has allowed trucks to ply on National Highways from April 20 onwards amid the nationwide lockdown , only 20 per cent of the trucks in the country are presently ferrying essential items whereas the supply of non-essential items remains disrupted.Sources said that despite the Home Ministry guidelines, truck operators were facing problems in plying their vehicles from one state to another.Reports have been received about local authorities at many places in Uttar Pradesh and Bihar stopping trucks from plying, they said.Those connected with the Indian transport sector griped that though the Central government is working in the right direction, the implementation of its orders on trucks movement on the ground is not proper.While ferrying of essential items is continuing from March 29 and transportation of all goods has been allowed from April 20, only 20 per cent of the 76 lakh trucks in the country are on roads at present.All India Motor Transport Congress General Secretary Navin Kumar Gupta said that the low number of trucks on highways could be explained in the light of the fact that truck drivers were left stranded across the country due to the lockdown imposed from March 24 midnight.
""They are now eager to return to their homes.
Loaded trucks are parked in godowns, but we don't have workers for unloading the goods.
Though the Home Ministry has given necessary instructions, truck owners are under pressures from local authorities,"" he said.Gupta also claimed that difficulties were being created in the smooth plying of truck in the name of following the governmental guidelines on enforcement of the lockdown.Meanwhile, truck drivers and their assistants are still facing a lot of problems in moving their trucks since eateries on highways were still closed and they were facing problems of board and lodging.However, a senior transport officer said that food arrangements had been made at 165 toll plazas and petrol pumps.
He maintained that the low number of trucks on the roads was due to the fact that many industries were shut amid the lockdown.He said that there were problems since transport was resuming after a break and the situation will return to normal soon.",
59,08/20/2020,"ashok leyland: Re-examining biz, operating models: Ashok Leyland chairman, Auto News, ET Auto","Accept the updated privacy & cookie policyDear user,ET Auto privacy and cookie policy has been updated to align with the new data regulations in European Union.
Please review and accept these changes below to continue using the website.
You can see our privacy policy & our cookie policy.
We use cookies to ensure the best experience for you on our website.
If you choose to ignore this message, we'll assume that you are happy to receive all cookies on ET Auto.",
60,05/16/2020,"BMTC bus: BMTC prepares for bus operation in calibrated manner to combat COVID-19, Auto News, ET Auto","Bengaluru: The Bangalore Metropolitan Transport Corporation (BMTC) is strengthening the COVID-19 containment strategy and stepping up for city bus operations in a calibrated manner as the nation comes closer to an end of the 54-day nationwide lockdown.
""The focus in the fight against the coronavirus outbreak shall be to reduce transmission rate and increase public activity gradually while adhering to guidelines.
The BMTC has made various preparedness to operate post-lockdown.
Further action will be taken only after government directions,"" the BMTC officials told ANI.As a precautionary measures BMTC staff are compulsorily undergoing health check-up when returning to duty for potential infection control and quarantine measures.
The BMTC is preparing itself for a minimal cash transaction and promoting monthly and weekly passes and QR code scanning for fare collection.",
61,01/22/2020,"Force Motors unveils next gen shared mobility platform, Auto News, ET Auto","The platform will also offer BS-VI CNG variant as also a class leading full electric version.
We are confident our customers will welcome it.”At present this new platform is underdoing final validation and homologation processes.
A new state of the art facility, with body shop with robotic and laser welding facilities is being set up at the Pithampur works.
These vehicles would be showcased at the forthcoming Delhi Auto Expo 2020.
It is expected to be available for sale by the end of the year.",
62,03/21/2020,"CNH Industrial: Corona scare: CNH Industrial halts most European plants due to virus-related supply constraints, Auto News, ET Auto","MILAN: Vehicle maker CNH Industrial said on Friday it was suspending most of its European assembly operations for two weeks due to the coronavirus outbreak, citing supply chain constraints.The Italian/American maker of Iveco commercial vehicles , farm machinery, construction equipment and powertrains, adds to a long list of European manufacturers closing plants or reducing production rates as the virus spreads.The decision was driven by disruptions in the group's European supply chain, ""that do not allow for an efficient operation"", Chief Executive Hubertus Muhlhauser said in a statement.
""During these temporary shutdowns , we will also undertake further extensive sanitization and deep cleaning procedures,"" he added.Friday's announcement follows a decision last week by CNH Industrial to halt operations at four Italian plants.The group, however, said most its plants producing components would remain operational, though at lower speed, to ensure supply continuity to the group's facilities outside of Europe.
European parts logistic hubs and most dealer locations will remain open too.CNH Industrial currently has 28 plants closed in Europe out of a total of 30, a spokesman said.CNH Industrial said it was working with unions and works councils to implement the temporary shutdowns and the reopening of the plants.
The group is constantly monitoring the situation in all markets in which it operates and will take further measures as required, it added.",
63,03/25/2020,"Wuhan: Coronaviorus: Wuhan buses hit road after two-month lockdown, Auto News, ET Auto","Hubei: As a bus departed from its terminus at Hankou Railway Station at 5:25 am Wednesday morning, Wuhan started to resume bus service after nine weeks of lockdown Apart from a driver, a safety supervisor was also on each bus, whose duty was to make sure all passengers are healthy.
""For those who do not use smartphones, they should bring with them a health certificate issued by the health authorities,"" said Zhou Jingjing, a safety supervisor aboard bus No.
511 departing from the Wuchang Railway Station complex.The once hardest-hit city in central China's Hubei Province during the COVID-19 outbreak took unprecedented traffic restrictions on Jan 23.All of its public transport and all outbound flights and trains had been suspended in an attempt to contain the virus within the region.",
64,04/14/2020,"AIMTC: Lockdown extension: Renewed concern among transporters regarding sustenance: AIMTC, Auto News, ET Auto","New Delhi: Truckers' body All India Motor Transport Congress ( AIMTC ) on Tuesday said there is renewed concern among transport sector regarding its sustenance due to the extension of the lockdown while seeking Rs 200 crore from the government's coronavirus combat corpus to ensure food and water for drivers and helpers on the move.The truckers body also claimed that while the home ministry has issued directives that trucks carrying goods, essential or non-essential or empty vehicle should not be stopped but on the ground local authorities are not honouring it in many places and stated if such a scenario persists then the scarcity of essential supplies is inevitable.Reacting to Prime Minister Narendra Modi's address to extend the lockdown till May 3, AIMTC Chairman Core Committee and former president Bal Malkit Singh said,""...there is renewed concern among the transport sector regarding its sustenance"".While the prime minister has asked corporate and public sector enterprises to cooperate in this hour of crisis by taking care of the workforce and their dependent, Singh claimed, ""it has come to light that even public sector enterprise like Maharashtra Natural Gas Limited, a joint venture of Maharashtra Government and GAIL, are rescinding their work contract and rendering hundreds of poor truckers without work.
""""The corporates and PSEs should honour their existing work contracts as on it depends livelihood of many others,"" he said.Highlighting issues faced by truckers on the road, Singh said drivers need to be motivated to come-back to work and Rs 50 lakh insurance should be immediately announced for them by the government apart from recognition of their efforts and contribution to the country.Drivers who are behind the wheels on date carrying essential or non-essential supplies or empty vehicles must be assured to reach their destination without any hassle, he said, adding the home ministry directives to not stop trucks are not being followed at several places.
""It must be ensured that the directives issued by the MHA should reach the ground level at every police station, district, taluk level so that their no roadblocks in the movement of trucks carrying any type of loads, and it should be facilitated instead,"" Singh said.There is also acute shortage of labour, staff, loading and unloading staff, but due to lack of transportation services they are not able to reach their stations, he added.Singh further said, ""The government is spending Rs 2 lakh crore to fight coronavirus.
Let Rs 200 crore be spent to ensure food and water for drivers and helpers on the move.
""He said the government must use its reach and resources at the district level to set up a place every 200 km to bring stranded trucks on the roads due to disruption of supply chain, where they can be sanitised and then allowed to move on.",
65,04/19/2020,"CV production: Global CV production to drop 22% in 2020: IHS Markit, Auto News, ET Auto","New Delhi: Global commercial vehicle production volumes in 2020 compared to 2019 are forecast to be down 22 percent to 2.6 million units in the wake of the COVID-19 pandemic, research firm IHS Markit predicted on Saturday.Earlier this year, shutdowns across China resulted in more than 80,000 units of lost production among truck manufacturers in the January-February period.
For the year, IHS Markit forecasts a decline in European production of 14 percent from the prior year.
""For major truck producers in Japan and South Korea, most have been forced to suspend operations due to reported parts shortages, resulting in 8,000 units of lost production.
However, restrictions are expected to ease through May,"" it noted.“Overall, compared to the downturn experienced in 2009, on a calendar-year basis, we’re seeing the same type of decline with respect to the prior year– a global production decline of about 20 percent,” said Divis.
This means that even though monthly production volumes in the coming quarters may dip below levels we saw during the depths of the last recession in 2009 in some regions, overall, annual figures are still expected to be higher than 2009 totals,” he concluded.",
66,04/26/2020,"fuel cell vehicle: NTPC launches Hydrogen Fuel bus and car project for Leh and New Delhi, Auto News, ET Auto","NEW DELHI: India's largest power producer and a central PSU under Ministry of Power, NTPC Ltd, has invited global expression of interest (EoI) to provide 10 Hydrogen Fuel Cell (FC) based electric buses and an equal number of Hydrogen Fuel Cell-based electric cars in Leh and DelhiThe EoI has been issued by NTPC's wholly-owned subsidiary, NTPC Vidyut Vyapar Nigam (NVVN) Limited.The move to procure Hydrogen Fuel Cell-based vehicles is the first of its kind project in the country, wherein a complete solution from green energy to the fuel cell vehicle would be developed.The initiative, which has been undertaken with the support of the Ministry of New and Renewable Energy, will also harness renewable energy for the generation of hydrogen and develop it's storage and dispensation facilities as part of pilot projects at Leh and Delhi.The move to launch hydrogen-powered vehicles aims at decarbonizing the mobility segment.The PSU has been taking various technology initiatives to provide a complete e-Mobility solutions for public transport including the creation of public charging infrastructure and providing electric buses to State/City Transport Undertakings.In this regard, 90 public charging stations in various cities and battery charging and swapping stations at Faridabad for e-3-wheelers have already been commissioned.Similarly, the e-Bus solution for Andaman & Nicobar Administration is under implementation.",
67,04/05/2020,Two-third of trucks out of business,"Freight costs of essential goods skyrocket as trucks stay off roadsONLY 30% or 15-odd lakh trucks are plying on roads.
M R Venkatesh, president of the Tamil Nadu State Lorry Owners’ Federation, says only 5-6 per cent of the state’s 4.5 lakh trucks are active.
Of Andhra’s 3 lakh trucks, less than 1 per cent may be active, they say.
According to S Jawahar Basha, vice-president, South Indian Motor Transport Association, trucks with large consignments are stuck at state borders.
This is leading to freight costs soaring for essential commodities too, and they will begin reflecting in retail prices,” Singh warned.",
68,09/03/2020,"DTC: Delhi transport minister reviews installation of safety features in DTC and cluster buses, Auto News, ET Auto","New Delhi : Delhi Transport Minister Kailash Gahlot on Thursday inspected the installation of safety features like CCTV cameras, automatic vehicle locator (AVL) system and panic button in DTC and cluster buses.
The minister, at Rajghat depot, also inspected the functioning of the command and control centre.
""We are trying to bring into focus more petty and unnoticed crimes faced by women commuters in the buses,"" he said.The AAP government had earlier announced that it will upgrade a fleet of around 5,500 Delhi Transport Corporation (DTC) and cluster buses with IP based CCTV surveillance cameras, panic button and GPS to ensure the safety of passengers.The project will cover only old buses as new ones are equipped with these features.The installation work is being done by Telecommunications Consultants India Limited and is expected to be completed by November, a government statement said.The buses are being fitted with 3 IP cameras, mNVR (mid-tier networking vehicular radio) integrated with GPS device, 10 panic buttons, a display for the driver, hooter, strobe and two pieces of two-way audio communication device, one each for driver and conductor, it said.The panic buttons, when pressed by a passenger, driver or conductor in case of any emergency, will send in real-time an alert to the command and control centre.The operator at the command centre will filter the alerts and forward them to respective agencies such as police, fire department or ambulance service with GPS coordinates of the bus.
Standard operating procedures (SOPs) defined for various alerts scenarios will be followed, the statement said.SMS and email alerts will also be sent to authorities concerned at the time of emergency in synchronisation to these panic alerts, it stated.",
69,09/03/2020,"Tesla cybertruck replica: Bosnian Tesla fan impatient for Cybertruck release builds a lookalike, Auto News, ET Auto","MOSTAR, Bosnia - A Bosnian fan of both Ford trucks and Elon Musk 's Tesla could not just sit on his hands waiting for the electric carmaker to release its Cybertruck, expected from late 2021.
""Everybody was watching and half of them thought we made a tank, because people don't know what the Cybertruck is.
One girl even stopped and asked if this is the place where they are producing Tesla Cybertruck ,"" Coric said on Friday.Krezic declined to speak to Reuters.Though it may not look identical to Cybertruck's functional prototype the pickup captures its spirit.
""The owner wanted us to combine two opposite sides -- Ford and Cyber -- because he is a fan of both Tesla and Ford, so we merged two souls into one,"" he said.
""This one uses gasoline and Tesla uses electricity.",
70,09/03/2020,"big truck crashes: Study claims electronics could stop 40% of big truck rear crashes, Auto News, ET Auto","Detroit: Safety features such as automatic emergency braking and forward collision warnings could prevent more than 40 percent of crashes in which semis rear-end other vehicles, a new study has found.
""Rear-end crashes with trucks and other vehicles happen a lot, often with horrible consequences,"" said Eric Teoh, the institute's director of statistical services who did the study.
""This is an important countermeasure to that.
For automatic emergency braking, the figure was 12 percent.
Five other vehicles were hit and seven more people were injured.",
71,04/09/2020,"Truckers seek govt intervention to help stranded drivers, for safety of goods","New Delhi: In the wake of Covid-19 lockdown truckers under the aegis of AIMTC on Thursday reiterated their demand for help to stranded drivers and protection of goods they were carrying.Seeking support from the government, transporters said supplies could be hit if problems are not addressed as still a large number of drivers were stranded while many have abandoned trucks loaded with goods at various places.The All India Motor Transport Congress (AIMTC) is the apex umbrella body of transporters representing about 93 lakh truckers pan-India.
""A large number of truckers are still stranded at various places without adequate food and support while at many places they have abandoned trucks with goods in absence of proper support,"" AIMTC Secretary General Naveen Gupta said.
""High-handedness by the personnel manning the checkposts / nakas and in some cases leading to harassment, extortion and beating of drivers, creating panic among them, is the big roadblock,"" AIMTC President Kultaran Singh Atwal said.He said at places goods worth thousands of rupees have been left abandoned in trucks by truckers.Even if the vehicle is made to move across a check-post or naka by talking to senior officials, it get stuck at some other place, he said.Atwal said it must be appreciated that the drivers are mainstay of the Transport Sector which is backbone of the economy and lifeline of the nation and they must be treated with sensitivity as they are also doing public service risking their lives under extreme circumstancesTo restore confidence among the 'heroes' of the transport trade -- the drivers -- and to bring them back, Rs 50 lakh insurance cover must also be extended to them as has been done for doctors and paramedics, the AIMTC demanded.Indian Foundation of Transport Research and Training (IFTRT) official SP Singh said a large number of truck drivers do not have social security net as they are not employed by the companies.Earlier, National Highways Authority of India NHAI ) had announced lending support to stranded drivers at its toll plazas.Road Transport and Highways Minister Nitin Gadkari also launded transporters and drivers for their role in maintaining essential supplies.",
72,04/15/2020,"Lockdown extension: AIMTC seeks proper implementation of revised guidelines for truckers, labourers'' relief","The All India Motor Transport Congress (AIMTC), the umbrella body of transporters that represent about 95 lakh truckers and entities, however, expressed concerns over loss of livelihoods for truckers, loaders and drivers in view of lockdown extension.
It has also demanded that revised guidelines by the government concerning the transport fraternity must reach to authorities at district and other lower levels for a better clarity.
Weak economic activity will lead to low demand in the road transport sector and hence high rate of idling of vehicles and collateral pressure on the operators will result, it said.
It demanded that soft loans at lower rate of interest, at par with international level, should be worked out for the road transport sector at the earliest so that there is no scarcity of working capital finance.
Otherwise any relaxation from April 20 may not help, if logistics mobility by road transport is not in readiness in next 4-6 days, Singh said.",
73,04/10/2020,Coronavirus Lockdown: Truck Rentals Jump As Drivers Ply Back Empty Trucks,"BloombergBloomberg | Quint is a multiplatform, Indian business and financial news company.
We combine Bloomberg’s global leadership in business and financial news and data, with Quintillion Media’s deep expertise in the Indian market and digital news delivery, to provide high quality business news, insights and trends for India’s sophisticated audiences.",
74,09/03/2020,"Madhya Pradesh Bus Operations: Bus operations resume in MP after govt announces tax waiver, Auto News, ET Auto","Bhopal: Regular bus operations resumed in Madhya Pradesh on Saturday, following the state government's announcement that vehicle tax will be waived for the COVID-19 lockdown period.
Chief Minister Shivraj Singh Chouhan had on Friday announced that the monthly vehicle tax payable on buses will be waived completely for the period from April 1 to August 31 in view of problems faced by bus operators and citizens.Chouhan also announced an exemption of 50 per cent in vehicle tax payable for September and extended the date of depositing the tax amount till September 30, he said.The Madhya Pradesh Bus Owners Association, however, said it will take about a month for bus operations to normalise in the state.
""Although we resumed operations on Saturday morning, most buses were almost empty as people are still scared of travelling,"" the association's vice president Santosh Pandey told .Vehicles have been sanitised and other precautionary measures were also taken, he said, adding that passengers who don't have masks are being given the protective gear on buses.Meanwhile, some bus operators in Bhopal and Indore are also using thermal scanners, eyewitnesses said.Buses operations were suspended in Madhya Pradesh from March 25 after the coronavirus-induced lockdown came into force.While the state government had granted partial permissions for buses when the Centre announced easing of the lockdown, regular operations could not be restored due to impasse over taxes and among other issues.",
75,03/31/2020,Insurance cover for truck drivers risking life during coronavirus to ensure essential supply?,"NEW DELHI: The road transport ministry has suggested to the government to provide some insurance cover for truck drivers and helpers since they are also part of essential service provider.
The government is likely to set up a 24X7 helpline number for truck drivers for help in case of any interruption on highways.TOI has learnt that the transport ministry has also suggested that a direction should issued to law enforcing agencies to allow truck drivers to move on after they check their driving licence.
The government is considering the proposal of not seeking any pass from a driver of a goods truck and another person in the vehicle.
But in some cases, these have not reached the ground and so we have problems of truck drivers being held up, unnecessarily detained.
There are both supply and demand side issues.",
76,01/16/2020,A more rational tax classification of vehicles can drive up auto sales,"With another Budget round the corner, the auto industry is looking for a dramatic policy move that would end its woes.
Although the Budget this time cannot tinker with GST rates or the compensation cess, the sector is nevertheless looking for some form of budgetary relief.
While personal vehicles seem to have put the worst behind them, the same cannot be said for commercial vehicles.
The time is ripe for the introduction of the scrappage policy for commercial vehicles, which will serve the twin purposes of reviving demand and reducing pollution.
Revenue loss from providing scrappage incentives can be made good by higher sales volumes as well as improved realisations from the costlier BS VI trucks.",
77,04/27/2020,Agri products: Govt distribution policy a breather to trucking industry,"Good rabi crop procurement and a massive operation planned by the Centre for distribution of agri products and pulses across the country during the Covid-19 crisis will give bring respite to the trucking industry over the next few months.
According to estimates, only 10-15 per cent of the 5.2 million trucks operate primarily for the movement of essential items.
However, the proposed revival and relief measures of the government, along with the seasonal agri products, will give a much-needed breather to the sector.
Even when the rabi crop procurement is at its peak, 12-15 lack truckers get engaged in the movement of crops to mandis.
This is intended to help the truck drivers and cleaners in their movement of goods between different places.",
78,03/22/2020,"Passenger trains to halt, goods trains to continue plying: Railways","All pasenger trains — within and across cities — will come to a standstill till March 31, as the Centre decided to up the crackdown against Covid-19.
For all the cancelled trains, the Railways will make a full refund of the fare, without levying any cancellation charge, said an official.
Delhi Metro announced suspension of its services till March 31 on Sunday afternoon.
The Government has, however, decided to keep goods trains running to ensure movement of essential supplies.
However, this has not had any visible impact as goods movement has dropped with many factories shutting plants, added Singh.",
